epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
26,19.69,2.19659,4.63657,0.01435,0,0,0,0,2.02941,4.62321,0.01064,9.01425e-05,9.01425e-05,9.01425e-05
27,20.4056,2.29754,4.68706,0.01203,0,0,0,0,2.02677,4.61624,0.01065,9.00725e-05,9.00725e-05,9.00725e-05
28,21.1045,2.33403,4.67173,0.01086,0,0,0,0,2.02677,4.61624,0.01065,8.97198e-05,8.97198e-05,8.97198e-05
29,21.936,2.19073,4.68334,0.0114,0,0,0,0,2.01969,4.61085,0.01059,8.90844e-05,8.90844e-05,8.90844e-05
30,22.6461,2.13361,4.63558,0.01179,0,0,0,0,2.01969,4.61085,0.01059,8.81661e-05,8.81661e-05,8.81661e-05
31,23.4558,2.17277,4.64224,0.01134,0,0,0,0,2.00313,4.60966,0.01042,8.69652e-05,8.69652e-05,8.69652e-05
32,24.1685,2.07684,4.60657,0.01259,0,0,0,0,2.00313,4.60966,0.01042,8.54815e-05,8.54815e-05,8.54815e-05
33,24.9666,2.03624,4.64412,0.01036,0,0,0,0,1.99001,4.60682,0.0103,8.37151e-05,8.37151e-05,8.37151e-05
34,25.6723,2.12914,4.64179,0.01093,0,0,0,0,1.99001,4.60682,0.0103,8.16659e-05,8.16659e-05,8.16659e-05
35,26.4608,1.9685,4.64097,0.01153,0,0,0,0,1.99707,4.57193,0.0103,7.9334e-05,7.9334e-05,7.9334e-05
36,27.2099,2.09343,4.54514,0.01426,0,0,0,0,1.99707,4.57193,0.0103,7.67193e-05,7.67193e-05,7.67193e-05
37,27.9754,2.08402,4.65162,0.01215,0,0,0,0,1.96391,4.56476,0.01007,7.38219e-05,7.38219e-05,7.38219e-05
38,28.6711,2.1849,4.61559,0.01207,0,0,0,0,1.96391,4.56476,0.01007,7.06417e-05,7.06417e-05,7.06417e-05
39,29.455,2.22337,4.62462,0.01058,0,0,0,0,1.95137,4.55629,0.00994,6.71788e-05,6.71788e-05,6.71788e-05
40,30.1837,2.28881,4.59735,0.01202,0,0,0,0,1.95137,4.55629,0.00994,6.34332e-05,6.34332e-05,6.34332e-05
41,31.0023,1.99169,4.55691,0.01321,0,0,0,0,1.95954,4.52295,0.01009,5.94048e-05,5.94048e-05,5.94048e-05
42,31.8061,1.97305,4.57708,0.01347,0,0,0,0,1.95954,4.52295,0.01009,5.50937e-05,5.50937e-05,5.50937e-05
43,32.6337,2.20938,4.62356,0.01061,0,0,0,0,1.94551,4.51832,0.01003,5.04998e-05,5.04998e-05,5.04998e-05
44,33.3223,1.99756,4.56204,0.01261,0,0,0,0,1.94551,4.51832,0.01003,4.56232e-05,4.56232e-05,4.56232e-05
45,34.1333,2.18027,4.62968,0.01139,0,0,0,0,1.96693,4.51327,0.01016,4.04638e-05,4.04638e-05,4.04638e-05
46,34.8205,1.9625,4.56183,0.01213,0,0,0,0,1.96693,4.51327,0.01016,3.50217e-05,3.50217e-05,3.50217e-05
47,35.5542,2.0657,4.61615,0.0116,0,0,0,0,1.97963,4.50934,0.01024,2.92968e-05,2.92968e-05,2.92968e-05
48,36.2482,1.98128,4.56886,0.01241,0,0,0,0,1.97963,4.50934,0.01024,2.32893e-05,2.32893e-05,2.32893e-05
49,37.0571,2.02944,4.56779,0.01208,0,0,0,0,1.97855,4.50586,0.01022,1.69989e-05,1.69989e-05,1.69989e-05
50,37.757,1.96351,4.5774,0.01148,0,0,0,0,1.97855,4.50586,0.01022,1.04258e-05,1.04258e-05,1.04258e-05
