epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,12.0898,2.31374,4.49029,1.28048,0,0,0,0,2.38686,4.73669,1.29739,8.75949e-05,8.75949e-05,8.75949e-05
23,12.6267,2.32318,4.50216,1.28483,0,0,0,0,2.42551,4.73268,1.30441,8.8656e-05,8.8656e-05,8.8656e-05
24,13.174,2.2834,4.52924,1.26221,0,0,0,0,2.42551,4.73268,1.30441,8.94342e-05,8.94342e-05,8.94342e-05
25,13.7125,2.21851,4.4446,1.3168,0,0,0,0,2.46998,4.72802,1.31389,8.99297e-05,8.99297e-05,8.99297e-05
26,14.209,2.16902,4.45385,1.31368,0,0,0,0,2.46998,4.72802,1.31389,9.01425e-05,9.01425e-05,9.01425e-05
27,14.7523,2.33554,4.48936,1.25158,0,0,0,0,2.50112,4.7229,1.31651,9.00725e-05,9.00725e-05,9.00725e-05
28,15.2587,2.3562,4.46946,1.18907,0,0,0,0,2.50112,4.7229,1.31651,8.97198e-05,8.97198e-05,8.97198e-05
29,15.8004,2.22973,4.41643,1.25002,0,0,0,0,2.49585,4.71637,1.31284,8.90844e-05,8.90844e-05,8.90844e-05
30,16.3538,2.12334,4.40679,1.21355,0,0,0,0,2.49585,4.71637,1.31284,8.81661e-05,8.81661e-05,8.81661e-05
31,16.897,2.17037,4.41018,1.19438,0,0,0,0,2.49371,4.71016,1.31338,8.69652e-05,8.69652e-05,8.69652e-05
32,17.3934,2.12126,4.36469,1.23004,0,0,0,0,2.49371,4.71016,1.31338,8.54815e-05,8.54815e-05,8.54815e-05
33,17.9386,2.1018,4.40337,1.16472,0,0,0,0,2.50093,4.70255,1.3188,8.37151e-05,8.37151e-05,8.37151e-05
34,18.4488,2.1307,4.40535,1.18669,0,0,0,0,2.50093,4.70255,1.3188,8.16659e-05,8.16659e-05,8.16659e-05
35,18.9906,2.06909,4.37649,1.23762,0,0,0,0,2.52128,4.69253,1.33256,7.9334e-05,7.9334e-05,7.9334e-05
36,19.5406,2.13419,4.3085,1.29656,0,0,0,0,2.52128,4.69253,1.33256,7.67193e-05,7.67193e-05,7.67193e-05
37,20.0901,2.18549,4.3681,1.26269,0,0,0,0,2.48663,4.6824,1.3174,7.38219e-05,7.38219e-05,7.38219e-05
38,20.5865,2.18242,4.30747,1.20238,0,0,0,0,2.48663,4.6824,1.3174,7.06417e-05,7.06417e-05,7.06417e-05
39,21.1276,2.20522,4.34096,1.17144,0,0,0,0,2.46682,4.67093,1.30995,6.71788e-05,6.71788e-05,6.71788e-05
40,21.6453,2.23765,4.33641,1.22866,0,0,0,0,2.46682,4.67093,1.30995,6.34332e-05,6.34332e-05,6.34332e-05
41,22.1994,2.12314,4.25853,1.29171,0,0,0,0,2.46262,4.66018,1.30834,5.94048e-05,5.94048e-05,5.94048e-05
42,22.7876,2.05179,4.24423,1.25552,0,0,0,0,2.46262,4.66018,1.30834,5.50937e-05,5.50937e-05,5.50937e-05
43,23.3765,2.31975,4.22798,1.13486,0,0,0,0,2.46895,4.64608,1.30565,5.04998e-05,5.04998e-05,5.04998e-05
44,23.8691,2.09749,4.22432,1.23558,0,0,0,0,2.46895,4.64608,1.30565,4.56232e-05,4.56232e-05,4.56232e-05
45,24.3836,2.19296,4.19987,1.13513,0,0,0,0,2.48033,4.62922,1.30287,4.04638e-05,4.04638e-05,4.04638e-05
46,24.8955,2.0802,4.21747,1.24631,0,0,0,0,2.48033,4.62922,1.30287,3.50217e-05,3.50217e-05,3.50217e-05
47,25.5298,2.10173,4.16064,1.1807,0,0,0,0,2.48322,4.59207,1.28691,2.92968e-05,2.92968e-05,2.92968e-05
48,26.0192,2.109,4.16522,1.25058,0,0,0,0,2.48322,4.59207,1.28691,2.32893e-05,2.32893e-05,2.32893e-05
49,26.555,2.07546,4.18252,1.21309,0,0,0,0,2.48316,4.57163,1.27995,1.69989e-05,1.69989e-05,1.69989e-05
50,27.0401,2.09913,4.17777,1.20728,0,0,0,0,2.48316,4.57163,1.27995,1.04258e-05,1.04258e-05,1.04258e-05
